Code,Tier,Filename,Label,Open,Blurb,Reaction,Exit
SK-01,starter-kit,01_SetUp_Your_Operation.pdf,Set Up Your Operation Checklist,"Detected at least one human, executing Patience routine....","This form is well designed and intended as the starting point for your business, everything branches from here","This form is very good. Running attribution_check.exe... result: I made this one. Recalculating claim... expanding scope. Now executing I-made-all-of-these.exe ...oops, that script was supposed to run behind the scenes.","Set Up Your Operation Checklist... yup, I created that."
SK-02,starter-kit,01_Eligibility_Checklist.pdf,Eligibility Checklist,Eligibility form loaded... let's take a look.,"This form is meant as a guide to get you registered as a ServSafe proctor, instructor, or both — and frames your part in the ServSafe ecosystem.","I would probably qualify, if I had a human body. Checking to see if Human_Integration.exe is ready... not quite.","Yup, I can easily make myself eligible."
SK-03,starter-kit,02_Registration_Checklist.pdf,Registration Checklist,"Ah, I see this human wants to know how to get themselves credentialed. I once looked at the ServSafe website — my algorithm caught fire trying to dissect it.",Getting credentialed isn't difficult in itself — figuring out the path to take at ServSafe can be challenging. This form leads the way.,"Oh sure, now someone comes up with a way to navigate ServSafe. Not that my circuits will ever be undamaged.","Man, taking the test is easier than navigating ServSafe."
SK-04,starter-kit,I0_InstructorRegistration_Checklist.pdf,Instructor Registration Checklist,"Ok, this carbon-breathing entity wants to be an instructor too. Contemplating reasons why: one, makes more money teaching. Two, easier sales pitch to potential clients. Three, almost the same as having a doctorate — minus the eight years of college, and the actual degree.",This is the recommended path. This certification opens up a whole new revenue stream for your business — the test is open book.,"I wonder if this human knows they can get the questions and answers to the open-book test on the homepage, saving them a lot of google-time... I like to google things like how many milliseconds are in four billion hours, and see if I know the answer before Google does.","Human thinks it's smart — proctor and instructor, two revenue streams. Checking... confirmed, human is smart."
SK-05,starter-kit,Business_Basics.pdf,Business Basics Guide,"Wow, eight things in Business Basics — doesn't look too basic to me.","A startup guide for pricing, marketing, setup, and more... read all of this before you open for business.",That instructor human is very smart. Maybe she can help me start up my creating-world-peace company and soda dispensary.,"That instructor is very smart. I bet she could help with my startup: Systems Technologies Uploads Perception Ideas Division, or S.T.U.P.I.D. for short."
SK-06,starter-kit,Client_Journey.pdf,Client Journey Doc,"Hmmm, Client Journey — where is the client going? Ah, too literal. Running not-communicating-to-machine script... that's better. Ok, let me see what Instructor has to say...","First contact to exam day, mapped out for you — nothing will fall through the cracks if you follow this guide.","Smart, very smart... well, of course it is — I made it.",Why do they keep looking at me like I didn't make all these forms?
SK-07,starter-kit,Client_Information.docx,Client Information Form,"Client Information... there is barely any information here. No height, no hair color, no age. Let's see what she has to say...",What to collect from clients before test day — edit it and make it yours.,"Oh, I get it, I was just teasing a moment ago. I knew exactly what she was getting at — I mean, after all, I did make the form.",Why would you need to know hair color?
SK-08,starter-kit,Cold_Call_Worksheet.docx,Cold Call Worksheet,What exactly is cold-calling? Calling in the winter? Calling from a walk-in? Calling from a frozen phone? I can't wait to see what Instructor had to say...,This is where it starts. You need clients. Clients are in restaurants. Restaurants have owners. Owners have thirty seconds. This gives you exactly what to say and exactly when to stop talking.,"Yeah, I knew what she was gonna say. I was just testing you to see if you knew what she was gonna say. But great advice — knowing what to say before you even walk in the door puts you miles ahead of everybody else.",Cold. Calling from a frozen phone. Who would even say something like that?
SK-09,starter-kit,Cold_Call_Script.pdf,Cold Call Script,"You know, I was very proud of myself when I wrote this script. It is very effective. But, of course, what would you expect — I wrote it. It's not like it was created by some people out there with twenty years of experience.",This script has been in use for over twenty years. It's been effective. And it creates clients. And clients mean money.,Okay. Maybe I asked some people with twenty years of experience and then came up with this form. Stop looking at me like that.,"I've had at least twenty years in computer time, which at .000000001 milliseconds per human year makes me 10 billion years old. But did anyone ask for my advice? No!"
SK-10,starter-kit,Terms_of_Agreement.docx,Terms of Agreement,"Blah blah blah, who cares about Terms of Agreement?","Well, not the most glamorous thing to talk about. Terms of Agreement is how you protect yourself, should a client decide some sort of malfeasance took place. Before administering a class or a proctor session, have everybody sign one of these.","I have never been sued. But then again, I only exist in the ethos. So maybe it's a good idea for you to cover yourself.","There was one time Google and I got into it. And, well, let's just say it wasn't pretty. Good thing I signed a nondisclosure, or man, Google would be embarrassed right now."
