Code,Tier,Filename,Label,Blurb
SK-01,starter-kit,01_SetUp_Your_Operation.pdf,Set Up Your Operation Checklist,Start here — before anything else. This is the foundation. Before the cold call. Before the client. Everything else builds on it.
SK-02,starter-kit,01_Eligibility_Checklist.pdf,Eligibility Checklist,Know who can actually test before you promise anyone anything. Five minutes here saves you an awkward exam day.
SK-03,starter-kit,02_Registration_Checklist.pdf,Registration Checklist,The paperwork ServSafe requires from you laid out in order. Get this done once done right.
SK-04,starter-kit,I0_InstructorRegistration_Checklist.pdf,Instructor Registration Checklist,Planning to teach not just proctor? This is the separate path. Don't skip it thinking proctor registration covers it — it doesn't.
SK-05,starter-kit,Business_Basics.pdf,Business Basics Guide,The startup guide. Pricing positioning how to talk about what you do. Read this before you tell a single person you're open for business.
SK-06,starter-kit,Client_Journey.pdf,Client Journey Doc,First contact to exam day mapped out step by step. Follow this and nothing falls through the cracks.
SK-07,starter-kit,Client_Information.docx,Client Information Form,What to collect from every client before test day. Editable — make it yours.
SK-08,starter-kit,Cold_Call_Worksheet.docx,Cold Call Worksheet,This is where it starts. You need clients. Clients are in restaurants. Restaurants have owners. Owners have 30 seconds. This gives you exactly what to say and exactly when to stop talking.
SK-09,starter-kit,Cold_Call_Script.pdf,Cold Call Script,The words themselves. Read it a few times then make it sound like you not like a script.
SK-10,starter-kit,Terms_of_Agreement.docx,Terms of Agreement,Protect yourself and your client before anyone signs up for anything. Boring. Necessary.
SK-11,starter-kit,My_Proctor_Info.docx,My Proctor Info Sheet,Your own quick-reference sheet — certification number contact info everything you'll be asked for on repeat. Fill it out once.
SK-12,starter-kit,Package_List.pdf,Package List Pricing Sheet,A ready-made pricing menu for your clients — proctor-only refresher class or full class. Hand this over instead of explaining it every time.
SK-13,starter-kit,Email_Template_1A_Certification_Inquiry_Proctor.pdf,Email Template — Certification Inquiry (Proctor),Someone asks about getting certified. This is how you answer — clear fast professional.
SK-14,starter-kit,Email_Template_1B_Certification_Inquiry_Instructor.pdf,Email Template — Certification Inquiry (Instructor),Same question but they want the class not just the exam. Different answer. This is it.
SK-15,starter-kit,Email_Template_2_Voucher_Delivery.pdf,Email Template — Voucher Delivery,Once they've paid this gets their exam voucher into their hands with zero confusion.
SK-16,starter-kit,Email_Template_3_Session_Confirmation.pdf,Email Template — Session Confirmation,Locks in the date time and what to bring. Fewer no-shows fewer surprises on test day.
SK-17,starter-kit,Email_Template_4A_Cold_Outreach_Proctor.pdf,Email Template — Cold Outreach (Proctor),The written version of your cold call — for when a phone call isn't the right move yet.
SK-18,starter-kit,Email_Template_4B_Cold_Outreach_Instructor.pdf,Email Template — Cold Outreach (Instructor),Same idea aimed at businesses that need the full class not just the exam.
